ScrapingDate,ProductID,DiscountPercentage,SellingPrice,IsPromotional,UnitsSold
2026-05-15,P1000,0.0759,21228.22,0,1
2026-05-16,P1000,0.0965,20755.26,0,0
2026-05-17,P1000,0.0793,21151.47,0,0
2026-05-18,P1000,0.0707,21349.57,0,0
2026-05-19,P1000,0.0989,20700.65,0,0
2026-05-20,P1000,0.0945,20800.98,0,0
2026-05-21,P1000,0.0696,21373.11,0,0
2026-05-22,P1000,0.0716,21326.88,0,0
2026-05-23,P1000,0.1019,20631.7,0,0
2026-05-24,P1000,0.0756,21237.18,0,0
2026-05-25,P1000,0.0679,21411.86,0,0
2026-05-26,P1000,0.07,21365.13,0,1
2026-05-27,P1000,0.0686,21396.72,0,0
2026-05-28,P1000,0.0582,21634.87,0,0
2026-05-29,P1000,0.0706,21351.63,0,1
2026-05-30,P1000,0.0797,21141.91,0,0
2026-05-31,P1000,0.0688,21393.07,0,0
2026-06-01,P1000,0.072,21319.66,0,0
2026-06-02,P1000,0.0634,21515.72,0,0
2026-06-03,P1000,0.1001,20673.61,0,1
2026-06-04,P1000,0.0795,21145.47,0,0
2026-06-05,P1000,0.0724,21308.87,0,0
2026-06-06,P1000,0.0755,21237.85,0,0
2026-06-07,P1000,0.0804,21126.17,0,0
2026-06-08,P1000,0.0903,20899.33,0,0
2026-06-09,P1000,0.0716,21328.03,0,0
2026-06-10,P1000,0.357,14771.02,1,0
2026-06-11,P1000,0.3326,15332.9,1,0
2026-06-12,P1000,0.3553,14809.81,1,1
2026-06-13,P1000,0.3518,14892.05,1,2
2026-06-14,P1000,0.2313,17658.29,1,0
2026-06-15,P1000,0.2391,17478.88,1,1
2026-06-16,P1000,0.1735,18988.14,1,0
2026-06-17,P1000,0.2853,16418.62,1,0
2026-06-18,P1000,0.2092,18165.97,1,1
2026-06-19,P1000,0.0876,20959.57,0,0
2026-06-20,P1000,0.0861,20993.74,0,0
2026-06-21,P1000,0.0702,21360.59,0,0
2026-06-22,P1000,0.0667,21439.36,0,1
2026-06-23,P1000,0.3214,15589.03,1,0
2026-06-24,P1000,0.2165,17999.59,1,0
2026-06-25,P1000,0.2992,16099.15,1,1
2026-06-26,P1000,0.2951,16193.5,1,0
2026-06-27,P1000,0.3693,14488.39,1,0
2026-06-28,P1000,0.2585,17033.75,1,0
2026-06-29,P1000,0.2589,17025.11,1,0
2026-06-30,P1000,0.0808,21117.59,0,0
2026-07-01,P1000,0.0659,21457.98,0,0
2026-07-02,P1000,0.0824,21079.51,0,0
2026-07-03,P1000,0.0792,21152.25,0,0
2026-07-04,P1000,0.0921,20856.29,0,1
2026-07-05,P1000,0.0644,21493.19,0,1
2026-07-06,P1000,0.0965,20756.9,0,0
2026-07-07,P1000,0.078,21181.25,0,0
2026-07-08,P1000,0.0602,21590.29,0,0
2026-07-09,P1000,0.102,20630.58,0,0
2026-07-10,P1000,0.0916,20867.9,0,0
2026-07-11,P1000,0.0408,22034.44,0,0
2026-07-12,P1000,0.0791,21154.97,0,0
2026-07-13,P1000,0.0639,21504.91,0,0
2026-07-14,P1000,0.0774,21195.25,0,0
2026-03-17,P1001,0.1163,46020.4,0,0
2026-03-18,P1001,0.0875,47518.98,0,0
2026-03-19,P1001,0.1169,45989.04,0,1
2026-03-20,P1001,0.1034,46692.25,0,0
2026-03-21,P1001,0.0966,47046.44,0,0
2026-03-22,P1001,0.0903,47373.82,0,0
2026-03-23,P1001,0.1161,46033.79,0,0
2026-03-24,P1001,0.0925,47260.44,0,0
2026-03-25,P1001,0.0839,47710.81,0,1
2026-03-26,P1001,0.0944,47162.0,0,0
2026-03-27,P1001,0.0767,48081.13,0,0
2026-03-28,P1001,0.1065,46532.3,0,1
2026-03-29,P1001,0.0901,47387.44,0,0
2026-03-30,P1001,0.0695,48459.18,0,0
2026-03-31,P1001,0.0806,47882.2,0,1
2026-04-01,P1001,0.102,46764.0,0,1
2026-04-02,P1001,0.1024,46743.83,0,0
2026-04-03,P1001,0.0962,47065.23,0,0
2026-04-04,P1001,0.0785,47990.95,0,1
2026-04-05,P1001,0.0895,47416.4,0,0
2026-04-06,P1001,0.0777,48031.04,0,0
2026-04-07,P1001,0.0747,48188.87,0,0
2026-04-08,P1001,0.1126,46215.14,0,0
2026-04-09,P1001,0.1096,46370.05,0,2
2026-04-10,P1001,0.1227,45689.74,0,0
2026-04-11,P1001,0.0845,47678.01,0,0
2026-04-12,P1001,0.0836,47725.79,0,0
2026-04-13,P1001,0.1156,46059.32,0,0
2026-04-14,P1001,0.0792,47950.7,0,0
2026-04-15,P1001,0.0858,47608.61,0,0
2026-04-16,P1001,0.0903,47375.15,0,0
2026-04-17,P1001,0.0978,46982.97,0,0
2026-04-18,P1001,0.0928,47246.16,0,0
2026-04-19,P1001,0.0921,47280.37,0,0
2026-04-20,P1001,0.1214,45753.31,0,0
2026-04-21,P1001,0.0942,47171.18,0,0
2026-04-22,P1001,0.0992,46911.71,0,1
2026-04-23,P1001,0.1062,46547.16,0,0
2026-04-24,P1001,0.0911,47331.9,0,0
2026-04-25,P1001,0.0878,47504.86,0,0
2026-04-26,P1001,0.1029,46717.3,0,0
2026-04-27,P1001,0.0966,47045.31,0,0
2026-04-28,P1001,0.0758,48129.17,0,1
2026-04-29,P1001,0.0761,48114.3,0,0
2026-04-30,P1001,0.0761,48113.83,0,1
2026-05-01,P1001,0.1096,46367.4,0,0
2026-05-02,P1001,0.1011,46812.85,0,0
2026-05-03,P1001,0.0875,47518.5,0,1
2026-05-04,P1001,0.0717,48342.67,0,1
2026-05-05,P1001,0.0966,47045.71,0,0
2026-05-06,P1001,0.0674,48568.63,0,0
2026-05-07,P1001,0.096,47077.81,0,0
2026-05-08,P1001,0.0877,47509.33,0,0
2026-05-09,P1001,0.0965,47050.42,0,1
2026-05-10,P1001,0.1055,46585.57,0,0
2026-05-11,P1001,0.0649,48698.25,0,0
2026-05-12,P1001,0.1023,46747.62,0,0
2026-05-13,P1001,0.0876,47514.51,0,0
2026-05-14,P1001,0.0765,48094.72,0,0
2026-05-15,P1001,0.0907,47351.83,0,1
2026-05-16,P1001,0.0958,47086.79,0,0
2026-05-17,P1001,0.2904,36954.02,1,0
2026-05-18,P1001,0.3777,32407.35,1,1
2026-05-19,P1001,0.2858,37192.12,1,0
2026-05-20,P1001,0.2637,38342.69,1,0
2026-05-21,P1001,0.074,48222.11,0,1
2026-05-22,P1001,0.0704,48409.46,0,0
2026-05-23,P1001,0.0836,47722.5,0,0
2026-05-24,P1001,0.1062,46548.1,0,0
2026-05-25,P1001,0.1159,46044.35,0,1
2026-05-26,P1001,0.09,47392.32,0,0
2026-05-27,P1001,0.1022,46755.7,0,0
2026-05-28,P1001,0.1024,46743.57,0,0
2026-05-29,P1001,0.0771,48062.97,0,0
2026-05-30,P1001,0.0942,47174.19,0,0
2026-05-31,P1001,0.0798,47922.72,0,0
2026-06-01,P1001,0.0675,48559.84,0,0
2026-06-02,P1001,0.0772,48059.59,0,0
2026-06-03,P1001,0.0925,47261.03,0,1
2026-06-04,P1001,0.0771,48064.71,0,0
2026-06-05,P1001,0.0764,48097.1,0,0
2026-06-06,P1001,0.0813,47845.46,0,0
2026-06-07,P1001,0.1021,46759.12,0,0
2026-06-08,P1001,0.0999,46876.7,0,1
2026-06-09,P1001,0.0752,48161.65,0,0
2026-06-10,P1001,0.1213,45760.87,0,2
2026-06-11,P1001,0.0958,47089.82,0,1
2026-06-12,P1001,0.0778,48026.35,0,0
2026-06-13,P1001,0.0782,48005.28,0,0
2026-06-14,P1001,0.1046,46631.27,0,1
2026-06-15,P1001,0.0725,48300.93,0,0
2026-06-16,P1001,0.1142,46128.08,0,0
2026-06-17,P1001,0.1013,46803.39,0,0
2026-06-18,P1001,0.109,46402.08,0,0
2026-06-19,P1001,0.0891,47437.73,0,0
2026-06-20,P1001,0.0787,47978.17,0,0
2026-06-21,P1001,0.1057,46573.77,0,0
2026-06-22,P1001,0.0803,47894.52,0,0
2026-06-23,P1001,0.0875,47522.28,0,0
2026-06-24,P1001,0.0921,47280.43,0,0
2026-06-25,P1001,0.0765,48091.09,0,0
2026-06-26,P1001,0.0928,47244.98,0,0
2026-06-27,P1001,0.1214,45756.55,0,0
2026-06-28,P1001,0.0819,47813.38,0,0
2026-06-29,P1001,0.0843,47689.42,0,0
2026-06-30,P1001,0.0925,47260.59,0,0
2026-07-01,P1001,0.1025,46741.3,0,0
2026-07-02,P1001,0.0971,47019.48,0,0
2026-07-03,P1001,0.0825,47782.88,0,1
2026-07-04,P1001,0.0851,47643.44,0,0
2026-07-05,P1001,0.0933,47218.23,0,0
2026-07-06,P1001,0.0944,47162.34,0,0
2026-07-07,P1001,0.0841,47696.34,0,0
2026-07-08,P1001,0.0622,48835.9,0,0
2026-07-09,P1001,0.0956,47096.83,0,0
2026-07-10,P1001,0.087,47546.23,0,0
2026-07-11,P1001,0.0787,47977.61,0,0
2026-07-12,P1001,0.0851,47646.45,0,0
2026-07-13,P1001,0.0753,48155.4,0,0
2026-07-14,P1001,0.0955,47102.9,0,0
2026-03-17,P1002,0.0661,52638.05,0,0
2026-03-18,P1002,0.0682,52519.45,0,2
2026-03-19,P1002,0.0689,52479.44,0,0
2026-03-20,P1002,0.0397,54123.78,0,0
2026-03-21,P1002,0.08,51854.81,0,2
2026-03-22,P1002,0.0766,52046.66,0,0
2026-03-23,P1002,0.0244,54984.6,0,2
2026-03-24,P1002,0.0529,53380.33,0,0
2026-03-25,P1002,0.0569,53157.04,0,1
2026-03-26,P1002,0.0863,51495.87,0,0
2026-03-27,P1002,0.0588,53047.71,0,0
2026-03-28,P1002,0.052,53430.64,0,0
2026-03-29,P1002,0.0684,52508.95,0,0
2026-03-30,P1002,0.0774,52002.48,0,0
2026-03-31,P1002,0.0616,52890.93,0,0
2026-04-01,P1002,0.0712,52349.66,0,0
2026-04-02,P1002,0.0684,52507.86,0,0
2026-04-03,P1002,0.0679,52537.31,0,0
2026-04-04,P1002,0.0378,54229.57,0,0
2026-04-05,P1002,0.0616,52890.14,0,0
2026-04-06,P1002,0.1806,46184.93,1,1
2026-04-07,P1002,0.1471,48069.68,1,1
2026-04-08,P1002,0.2464,42476.05,1,1
2026-04-09,P1002,0.275,40864.96,1,0
2026-04-10,P1002,0.3845,34692.38,1,0
2026-04-11,P1002,0.3006,39422.6,1,0
2026-04-12,P1002,0.0618,52877.49,0,0
2026-04-13,P1002,0.0918,51188.63,0,0
2026-04-14,P1002,0.0617,52884.44,0,0
2026-04-15,P1002,0.0826,51707.93,0,0
2026-04-16,P1002,0.0845,51601.27,0,0
2026-04-17,P1002,0.0596,53000.8,0,0
2026-04-18,P1002,0.0742,52178.58,0,0
2026-04-19,P1002,0.0398,54119.66,0,0
2026-04-20,P1002,0.0675,52558.73,0,0
2026-04-21,P1002,0.0396,54130.63,0,0
2026-04-22,P1002,0.0698,52425.9,0,0
2026-04-23,P1002,0.0553,53245.48,0,0
2026-04-24,P1002,0.0588,53046.39,0,0
2026-04-25,P1002,0.0488,53614.27,0,0
2026-04-26,P1002,0.0655,52670.49,0,0
2026-04-27,P1002,0.0726,52272.47,0,0
2026-04-28,P1002,0.0486,53623.83,0,0
2026-04-29,P1002,0.0572,53140.5,0,0
2026-04-30,P1002,0.0656,52662.77,0,0
2026-05-01,P1002,0.0529,53378.3,0,0
2026-05-02,P1002,0.0806,51819.5,0,1
2026-05-03,P1002,0.0634,52790.07,0,0
2026-05-04,P1002,0.0854,51547.08,0,0
2026-05-05,P1002,0.0478,53668.96,0,0
2026-05-06,P1002,0.0692,52461.79,0,0
2026-05-07,P1002,0.0377,54235.3,0,1
2026-05-08,P1002,0.0511,53484.68,0,0
2026-05-09,P1002,0.0656,52663.81,0,0
2026-05-10,P1002,0.0574,53126.66,0,1
2026-05-11,P1002,0.057,53149.32,0,0
2026-05-12,P1002,0.0794,51886.68,0,0
2026-05-13,P1002,0.0513,53468.55,0,0
2026-05-14,P1002,0.0591,53030.98,0,0
2026-05-15,P1002,0.0385,54192.52,0,0
2026-05-16,P1002,0.0568,53163.18,0,0
2026-05-17,P1002,0.0768,52035.55,0,0
2026-05-18,P1002,0.0731,52241.57,0,0
2026-05-19,P1002,0.0589,53041.13,0,0
2026-05-20,P1002,0.0806,51818.9,0,0
2026-05-21,P1002,0.0725,52275.95,0,0
2026-05-22,P1002,0.0913,51216.73,0,0
2026-05-23,P1002,0.3164,38529.92,1,0
2026-05-24,P1002,0.2393,42875.1,1,1
2026-05-25,P1002,0.3234,38135.91,1,0
2026-05-26,P1002,0.3045,39199.75,1,0
2026-05-27,P1002,0.0534,53354.59,0,0
2026-05-28,P1002,0.0278,54796.07,0,0
2026-05-29,P1002,0.0662,52629.33,0,0
2026-05-30,P1002,0.0921,51169.69,0,0
2026-05-31,P1002,0.0354,54367.36,0,0
2026-06-01,P1002,0.0443,53863.88,0,0
2026-06-02,P1002,0.0636,52776.18,0,1
2026-06-03,P1002,0.0398,54120.43,0,0
2026-06-04,P1002,0.0608,52936.09,0,0
2026-06-05,P1002,0.0613,52905.27,0,0
2026-06-06,P1002,0.0532,53361.32,0,0
2026-06-07,P1002,0.062,52868.57,0,0
2026-06-08,P1002,0.0921,51169.14,0,0
2026-06-09,P1002,0.073,52246.81,0,0
2026-06-10,P1002,0.0841,51623.77,0,0
2026-06-11,P1002,0.0614,52901.75,0,0
2026-06-12,P1002,0.0638,52765.77,0,0
2026-06-13,P1002,0.0612,52914.35,0,1
2026-06-14,P1002,0.0966,50915.46,0,0
2026-06-15,P1002,0.0589,53045.29,0,0
2026-06-16,P1002,0.0731,52244.85,0,1
2026-06-17,P1002,0.0762,52067.18,0,0
2026-06-18,P1002,0.0643,52740.41,0,1
2026-06-19,P1002,0.0637,52773.56,0,1
2026-06-20,P1002,0.0332,54493.69,0,0
2026-06-21,P1002,0.0545,53290.89,0,0
2026-06-22,P1002,0.0715,52330.95,0,0
2026-06-23,P1002,0.0388,54174.26,0,0
2026-06-24,P1002,0.058,53091.47,0,0
2026-06-25,P1002,0.0705,52387.35,0,0
2026-06-26,P1002,0.0313,54599.41,0,0
2026-06-27,P1002,0.04,54109.79,0,0
2026-06-28,P1002,0.068,52529.39,0,2
2026-06-29,P1002,0.0394,54139.85,0,2
2026-06-30,P1002,0.069,52475.44,0,0
2026-07-01,P1002,0.0328,54515.26,0,0
2026-07-02,P1002,0.0608,52937.72,0,0
2026-07-03,P1002,0.064,52754.14,0,0
2026-07-04,P1002,0.063,52811.38,0,0
2026-07-05,P1002,0.0688,52484.22,0,0
2026-07-06,P1002,0.0686,52497.0,0,0
2026-07-07,P1002,0.06,52982.71,0,0
2026-07-08,P1002,0.0655,52668.05,0,0
2026-07-09,P1002,0.0869,51461.98,0,0
2026-07-10,P1002,0.0443,53867.61,0,0
2026-07-11,P1002,0.0582,53081.33,0,0
2026-07-12,P1002,0.0517,53450.79,0,0
2026-07-13,P1002,0.0528,53385.59,0,0
2026-07-14,P1002,0.0516,53456.07,0,0
2026-03-17,P1003,0.1122,28291.67,0,0
2026-03-18,P1003,0.1309,27694.72,0,1
2026-03-19,P1003,0.1187,28083.78,0,0
2026-03-20,P1003,0.1048,28527.24,0,0
2026-03-21,P1003,0.0876,29073.64,0,2
2026-03-22,P1003,0.1164,28158.43,0,0
2026-03-23,P1003,0.1122,28291.32,0,0
2026-03-24,P1003,0.1275,27803.93,0,0
2026-03-25,P1003,0.1058,28493.8,0,0
2026-03-26,P1003,0.1105,28346.36,0,0
2026-03-27,P1003,0.1071,28453.08,0,0
2026-03-28,P1003,0.1225,27964.39,0,1
2026-03-29,P1003,0.1332,27621.2,0,0
2026-03-30,P1003,0.1168,28144.88,0,0
2026-03-31,P1003,0.1307,27702.94,0,1
2026-04-01,P1003,0.124,27913.7,0,0
2026-04-02,P1003,0.1118,28303.44,0,0
2026-04-03,P1003,0.115,28203.3,0,0
2026-04-04,P1003,0.1208,28017.27,0,0
2026-04-05,P1003,0.1239,27918.26,0,1
2026-04-06,P1003,0.1322,27654.78,0,0
2026-04-07,P1003,0.1307,27700.18,0,0
2026-04-08,P1003,0.1215,27996.03,0,0
2026-04-09,P1003,0.1052,28512.83,0,0
2026-04-10,P1003,0.1261,27849.65,0,1
2026-04-11,P1003,0.1238,27922.73,0,0
2026-04-12,P1003,0.121,28012.05,0,1
2026-04-13,P1003,0.1188,28079.73,0,0
2026-04-14,P1003,0.1046,28531.87,0,0
2026-04-15,P1003,0.1291,27751.87,0,0
2026-04-16,P1003,0.1219,27982.33,0,2
2026-04-17,P1003,0.1495,27103.0,0,0
2026-04-18,P1003,0.1303,27715.82,0,0
2026-04-19,P1003,0.1207,28020.83,0,0
2026-04-20,P1003,0.0994,28700.2,0,0
2026-04-21,P1003,0.1184,28093.04,0,1
2026-04-22,P1003,0.1091,28391.17,0,0
2026-04-23,P1003,0.1302,27717.84,0,0
2026-04-24,P1003,0.1265,27836.35,0,0
2026-04-25,P1003,0.0871,29089.63,0,0
2026-04-26,P1003,0.1296,27735.44,0,0
2026-04-27,P1003,0.1202,28036.93,0,0
2026-04-28,P1003,0.1123,28288.13,0,1
2026-04-29,P1003,0.1238,27922.37,0,0
2026-04-30,P1003,0.137,27501.25,0,0
2026-05-01,P1003,0.137,27499.94,0,0
2026-05-02,P1003,0.1026,28595.79,0,0
2026-05-03,P1003,0.1177,28115.95,0,0
2026-05-04,P1003,0.1138,28241.11,0,0
2026-05-05,P1003,0.137,27499.82,0,0
2026-05-06,P1003,0.1252,27875.41,0,0
2026-05-07,P1003,0.1095,28377.77,0,0
2026-05-08,P1003,0.1187,28084.87,0,0
2026-05-09,P1003,0.1118,28304.88,0,0
2026-05-10,P1003,0.1196,28055.36,0,0
2026-05-11,P1003,0.1128,28273.24,0,0
2026-05-12,P1003,0.1224,27967.42,0,1
2026-05-13,P1003,0.128,27788.17,0,1
2026-05-14,P1003,0.1313,27683.21,0,0
2026-05-15,P1003,0.147,27182.57,0,0
2026-05-16,P1003,0.0898,29003.75,0,1
2026-05-17,P1003,0.131,27692.08,0,0
2026-05-18,P1003,0.1181,28103.51,0,0
2026-05-19,P1003,0.1289,27757.49,0,0
2026-05-20,P1003,0.1346,27578.58,0,0
2026-05-21,P1003,0.1287,27766.68,0,3
2026-05-22,P1003,0.1248,27890.91,0,1
2026-05-23,P1003,0.0956,28818.8,0,1
2026-05-24,P1003,0.1168,28143.78,0,0
2026-05-25,P1003,0.117,28137.38,0,0
2026-05-26,P1003,0.1194,28061.05,0,0
2026-05-27,P1003,0.1278,27795.47,0,1
2026-05-28,P1003,0.1155,28186.15,0,0
2026-05-29,P1003,0.1204,28030.07,0,0
2026-05-30,P1003,0.1346,27578.25,0,0
2026-05-31,P1003,0.1261,27848.59,0,0
2026-06-01,P1003,0.1245,27898.13,0,0
2026-06-02,P1003,0.1128,28270.72,0,0
2026-06-03,P1003,0.1247,27892.28,0,0
2026-06-04,P1003,0.1335,27611.17,0,0
2026-06-05,P1003,0.1134,28252.32,0,0
2026-06-06,P1003,0.1201,28040.39,0,1
2026-06-07,P1003,0.2306,24516.77,1,1
2026-06-08,P1003,0.2956,22447.19,1,0
2026-06-09,P1003,0.3555,20537.62,1,0
2026-06-10,P1003,0.2752,23097.29,1,0
2026-06-11,P1003,0.4346,18017.2,1,1
2026-06-12,P1003,0.3571,20487.05,1,1
2026-06-13,P1003,0.4445,17701.04,1,0
2026-06-14,P1003,0.1046,28534.9,0,0
2026-06-15,P1003,0.1155,28187.26,0,0
2026-06-16,P1003,0.1185,28090.53,0,1
2026-06-17,P1003,0.1147,28211.41,0,0
2026-06-18,P1003,0.1139,28237.26,0,0
2026-06-19,P1003,0.3232,21567.33,1,0
2026-06-20,P1003,0.4856,16392.81,1,0
2026-06-21,P1003,0.2868,22728.8,1,0
2026-06-22,P1003,0.2899,22629.65,1,2
2026-06-23,P1003,0.2721,23196.13,1,0
2026-06-24,P1003,0.2053,25323.74,1,0
2026-06-25,P1003,0.368,20138.74,1,0
2026-06-26,P1003,0.1019,28619.88,0,1
2026-06-27,P1003,0.108,28426.39,0,0
2026-06-28,P1003,0.1175,28122.07,0,0
2026-06-29,P1003,0.1412,27366.62,0,0
2026-06-30,P1003,0.1026,28598.69,0,0
2026-07-01,P1003,0.1157,28178.18,0,0
2026-07-02,P1003,0.1232,27939.88,0,1
2026-07-03,P1003,0.0871,29092.26,0,0
2026-07-04,P1003,0.1084,28411.21,0,0
2026-07-05,P1003,0.1225,27964.11,0,0
2026-07-06,P1003,0.1095,28376.01,0,0
2026-07-07,P1003,0.1244,27902.78,0,0
2026-07-08,P1003,0.1498,27094.57,0,1
2026-07-09,P1003,0.1237,27925.38,0,0
2026-07-10,P1003,0.1309,27694.93,0,1
2026-07-11,P1003,0.111,28328.32,0,0
2026-07-12,P1003,0.1109,28332.88,0,0
2026-07-13,P1003,0.1132,28259.95,0,0
2026-07-14,P1003,0.1011,28644.27,0,0
2026-03-17,P1004,0.0496,35553.87,0,0
2026-03-18,P1004,0.2566,27809.61,1,0
2026-03-19,P1004,0.1992,29957.41,1,1
2026-03-20,P1004,0.2349,28621.72,1,0
2026-03-21,P1004,0.2212,29135.03,1,1
2026-03-22,P1004,0.2204,29164.55,1,2
2026-03-23,P1004,0.184,30526.05,1,1
2026-03-24,P1004,0.0443,35751.37,0,0
2026-03-25,P1004,0.081,34377.38,0,0
2026-03-26,P1004,0.0463,35675.45,0,0
2026-03-27,P1004,0.0535,35407.42,0,0
2026-03-28,P1004,0.0284,36347.76,0,1
2026-03-29,P1004,0.0433,35788.17,0,1
2026-03-30,P1004,0.0315,36231.23,0,0
2026-03-31,P1004,0.0418,35845.88,0,1
2026-04-01,P1004,0.0369,36028.91,0,0
2026-04-02,P1004,0.0196,36674.33,0,1
2026-04-03,P1004,0.0449,35728.07,0,1
2026-04-04,P1004,0.0447,35736.02,0,0
2026-04-05,P1004,0.0353,36086.65,0,1
2026-04-06,P1004,0.027,36399.76,0,0
2026-04-07,P1004,0.1329,32435.12,1,3
2026-04-08,P1004,0.2639,27534.97,1,2
2026-04-09,P1004,0.2314,28753.22,1,3
2026-04-10,P1004,0.3347,24889.38,1,0
2026-04-11,P1004,0.2555,27850.81,1,1
2026-04-12,P1004,0.2768,27053.76,1,0
2026-04-13,P1004,0.0181,36730.89,0,0
2026-04-14,P1004,0.0439,35765.18,0,1
2026-04-15,P1004,0.043,35798.76,0,1
2026-04-16,P1004,0.0503,35527.91,0,0
2026-04-17,P1004,0.0393,35937.93,0,0
2026-04-18,P1004,0.0705,34770.76,0,0
2026-04-19,P1004,0.0218,36593.89,0,0
2026-04-20,P1004,0.0224,36571.89,0,0
2026-04-21,P1004,0.0638,35021.26,0,1
2026-04-22,P1004,0.054,35386.91,0,0
2026-04-23,P1004,0.0388,35955.62,0,0
2026-04-24,P1004,0.0392,35942.99,0,0
2026-04-25,P1004,0.3026,26087.41,1,1
2026-04-26,P1004,0.346,24466.98,1,1
2026-04-27,P1004,0.2831,26819.23,1,0
2026-04-28,P1004,0.2426,28332.33,1,2
2026-04-29,P1004,0.3198,25443.82,1,0
2026-04-30,P1004,0.1168,33040.06,1,0
2026-05-01,P1004,0.2052,29732.87,1,0
2026-05-02,P1004,0.2351,28612.2,1,1
2026-05-03,P1004,0.1903,30291.22,1,0
2026-05-04,P1004,0.0337,36149.3,0,0
2026-05-05,P1004,0.0369,36027.13,0,1
2026-05-06,P1004,0.0558,35321.18,0,0
2026-05-07,P1004,0.0492,35568.16,0,0
2026-05-08,P1004,0.0866,34168.82,0,0
2026-05-09,P1004,0.065,34976.99,0,0
2026-05-10,P1004,0.0423,35824.81,0,0
2026-05-11,P1004,0.0576,35252.04,0,0
2026-05-12,P1004,0.0492,35569.27,0,0
2026-05-13,P1004,0.0362,36055.37,0,0
2026-05-14,P1004,0.0529,35427.72,0,0
2026-05-15,P1004,0.0505,35518.89,0,0
2026-05-16,P1004,0.067,34902.58,0,0
2026-05-17,P1004,0.022,36587.27,0,0
2026-05-18,P1004,0.0227,36560.47,0,0
2026-05-19,P1004,0.0315,36229.19,0,0
2026-05-20,P1004,0.053,35425.01,0,0
2026-05-21,P1004,0.0593,35190.82,0,1
2026-05-22,P1004,0.0455,35705.89,0,0
2026-05-23,P1004,0.0363,36051.5,0,0
2026-05-24,P1004,0.0684,34850.65,0,0
2026-05-25,P1004,0.0481,35608.64,0,0
2026-05-26,P1004,0.047,35648.73,0,0
2026-05-27,P1004,0.0434,35786.01,0,0
2026-05-28,P1004,0.0204,36645.78,0,0
2026-05-29,P1004,0.0352,36092.11,0,0
2026-05-30,P1004,0.047,35651.31,0,0
2026-05-31,P1004,0.0329,36177.93,0,0
2026-06-01,P1004,0.0675,34881.7,0,0
2026-06-02,P1004,0.0481,35609.08,0,0
